"Code","Identifier","Name_En","Name_Es","Name_Fr"
"0301.9190","1","Live trout ""Salmo trutta, Oncorhynchus mykiss, O. clarki, O. aguabonita, O. gilae""","Las demás truchas vivas","Truites des espèces ''Salmo trutta, Oncorhynchus mykiss, O.clarki, O.aguabonita, O.gilae'', vivantes"
"0301.9200","2","Live eels ""Anguilla spp.""","Anguilas (Anguilla spp.) vivas","Anguilles ''Anguilla spp.'', vivantes"
"0301.9210","3","Live eels ""Anguilla spp."", of a length of less than 12 cm","Anguilas (Anguilla spp.) vivas, de longitud inferior a 12 cm","Anguilles ''Anguilla spp.'', vivantes, d'une longueur de moins de 12 cm"
"0301.9230","4","Live eels ""Anguilla spp."", of a length of 12 cm or more but less than 20 cm","Anguilas (Anguilla spp.) vivas, de longitud igual o superior a 12 cm pero inferior a 20 cm","Anguilles ''Anguilla spp.'', vivantes, d'une longueur de 12 cm ou plus mais de moins de 20 cm"
"0301.9290","5","Live eels ""Anguilla spp."", of a length of 20 cm or more","Anguilas (Anguilla spp.) vivas, de longitud igual o superior a 20 cm","Anguilles ''Anguilla spp.'', vivantes, d'une longueur de 20 cm ou plus"
"0301.9300","6","Live carp","Carpas vivas","Carpes, vivantes"
"0301.9400","7","Live Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)","Atunes comunes o de aleta azul, del Atlántico y del Pacífico (Thunnus thynnus, Thunnus orientalis), vivos","Thons rouges de l'Atlantique et du Pacifique (Thunnus thynnus, Thunnus orientalis), vivants"
"0301.9410","8","Live Atlantic bluefin tuna ""Thunnus thynnus""","Atunes comunes o de aleta azul del Atlántico (Thunnus thynnus) vivos","Thons rouges de l'Atlantique (Thunnus thynnus), vivants"
"0301.1100","9","Live ornamental freshwater fish","Peces ornamentales de agua dulce","Poissons d'ornement, d'eau douce, vivants"
"0301.1900","10","Live ornamental saltwater fish","Peces ornamentales de mar","Poissons d'ornement, de mer, vivants"
"0301.9100","11","Live trout ""Salmo trutta, Oncorhynchus mykiss, O. clarki, O. aguabonita, O. gilae, O. apache and O. chrysogaster""","Truchas (Salmo trutta, Oncorhynchus mykiss, O.clarki, O.aguabonita, O.gilae, O. apache, O.chrysogaster) vivas","Truites [Salmo trutta, Oncorhynchus mykiss, O.clarki, O.aguabonita, O.gilae, O.apache, O.chrysogaster], vivantes"
"0301.9110","12","Live trout ""Oncorhynchus apache and O. chrysogaster""","Truchas de las especies Oncorhynchus apache y Oncorhynchus chrysogaster vivas","Truites des espèces ''Oncorhynchus apache et Oncorhynchus chrysogaster'', vivantes"
"0301.9490","13","Live Pacific bluefin tuna ""Thunnus orientalis""","Atunes comunes o de aleta azul del Pacífico (Thunnus orientalis)","Thons rouges du Pacifique (Thunnus orientalis), vivants"
"0301.9500","14","Live Southern bluefin tunas ""Thunnus maccoyii""","Atunes del sur (Thunnus maccoyii) vivos","Thons rouges du sud ''Thunnus maccoyii'', vivants"
"0301.9900","15","Live fish, other","Los demás peces vivos","Autres poissons, vivants"
"0301.9911","16","Live Pacific salmon, Atlantic salmon and Danube salmon","Salmones del Pacífico, salmones del Atlántico y salmones del Danubio vivos","Saumons du Pacifique, saumons de l'Atlantique et saumons du Danube, vivants"
"0301.9917","17","Other freshwater fish live (excl. ornamental fish, trout, eels, carp, Pacific, Atlantic, Danube salmon)","Los demás peces de agua dulce vivos (excepto peces ornam., truchas, anguilas, carpas, salmones)","Autres poissons d'eau douce, vivants (excl. poissons d'orne, truites, anguilles, carpes, saumons)"
"0301.9985","18","Other saltwater fish live (excl. Atlantic, Pacific, Southern bluefin tuna)","Los demás peces de mar, vivos (excepto  atunes del Atlántico, del Pacífico, del sur)","Autres poissons de mer, vivants (à l'excl. de  thons rouges de l'Atalantique, du Pacifique, du sud)"
"0302.1100","19","Fr/ch trout ""Salmo trutta, Oncorhynchus mykiss, O. clarki, O. aguabonita, O. gilae, O. apache, O. chrysogaster""","Truchas (Salmo trutta, O.mykiss, O.clarki, O.aguabonita, O.gilae, O.apache, O.chrysogaster) frescas o refrigeradas","Truites [Salmo trutta, O.mykiss, O.clarki, O.aguabonita, O.gilae, O.apache,O.chrysogaster], fraîches ou réfrigérées"
"0302.1110","20","Fr/ch trout ""Oncorhynchus apache and Oncorhynchus chrysogaster""","Truchas de las especies Oncorhynchus apache y Oncorhynchus chrysogaster, frescas o refrigeradas","Truites des espèces ''Oncorhynchus apache'' et ''Oncorhynchus chrysogaster'', fraîches ou réfrigérées"
"0302.1120","21","Fr/ch trout  ""Oncorhynchus mykiss"", heads/gills on, gutted, > 1,2 kg, or with heads off, gilled/gutted,>1kg)","Truchas O.mykiss, sin descab, con branquias/eviscera>1,2 kg; descabez, sin branquias/evisceradas>1 kg, fres or refrig","Truites ''O. mykiss'', avec tête et branchies, vidées, pesant > 1,2 kg,ou étêtées, sans branchies, vidées, pesant > 1 kg"
"0302.1180","22","Other fresh or chilled trout (Salmo trutta, Oncorhynchus mykiss, O.clarki, O.aguabonita, O. gilae)","Las demás truchas 'Salmo trutta, Oncorhynchus mykiss, O.clarki, O. aguabonita O.gilae"", frescas o refrigeradas","Autres truites des espèces ''Salmo trutta, Oncorhynchus mykiss, clarki, aguabonita gilae'', fraîches ou réfrigérées"
"0302.1300","23","Fr/ch Pacific salmon","Salmones del Pacífico, frescos o refrigerados","Saumons du Pacifique,  frais ou réfrigérés"
"0302.1400","24","Fr/ch Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""","Salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho), frescos o refrigerados","Saumons de l'Atlantique (Salmo salar) et saumons du Danube (Hucho hucho),  frais ou réfrigérés"
"0302.1900","25","Fr/ch other salmonidae (excl. trout, Pacific salmon, Atlantic salmon,Danube salmon), excl. livers and roes","Los demás salmónidos, excepto los hígados, huevas y lechas, frescos o refrigerados","Autres salmonidés, frais ou réfrigérés,  à l'exclusion des foies, œufs et laitances"
