"Code","Identifier","Name_En","Name_Es","Name_Fr"
"0301","30002","Live fish","Peces vivos","Poissons vivants"
"0302","30010","Fish, fresh or chilled, excluding fish fillets and other fish meat","Pescado fresco o refrigerado excepto los filetes y demás carne de pescado","Poissons frais ou réfrigérés, à l'exception des filets de poissons et autre chair de poisson"
"0303","30037","Fish, frozen, excluding fish fillets and other fish meat","Pescado congelado, excepto los filetes y demás carne de pescado","Poissons congelés, à l'exception des filets de poissons et autre chair de poissons"
"0304","30071","Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen","Filetes y demás carne de pescado (incluso picada), frescos, refrigerados o congelados","Filets de poissons et autre chair de poissons (même hachée), frais, réfrigérés ou congelés"
"0305","30084","Fish, dried, salted or in brine; smoked, whether or not cooked;","Pescado seco salado o en salmuera, ahumado, incluso cocido","Poissons séchés, salés ou en saumure; poissons fumés même cuits"
"0306","30097","Crustaceans, live, fresh, chilled, frozen, dried, salted or in brine, smoked","Crusáceos, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera, ahumados","Crustacés, vivants, frais, réfregérés, congelés, séché, salés ou en saumure, fumés"
"0307","30108","Molluscs live, fresh, chilled, frozen, dried, salted or in brine, smoked","Moluscos vivos, frescos, refrigerados, congelados, secos, salados o en salmuera, ahumados","Mollusques,  vivants, frais, réfregérés, congelés, séché, salés ou en saumure, fumés"
"0508","30121","Coral and similar material, unworked or simply prepared","Coral y sustancias análogas, sin labrar o preparadas simplemente","Corail et matières similaires, bruts ou simplement preparés"
"0511","30125","Animal products not elsewhere specified or included","Productos de origen animal no expresados ni comprendidos en otra parte","Produits d'origine animale, non dénommés ni compris ailleurs"
"1212","30129","Locust beans, seaweeds and other algae, sugar beet and sugar cane, etc.","Algarrobas, algas, remolacha azucarera y caña de azúcar, etc.","Caroubes, algues, betteraves à sucre et cannes à sucre, etc."
"1302","30132","Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar, etc.","Jugos y extractos vegetales; materias pécticas, pectinatos y pectatos; agar-agar, etc.","Sucs et extraits végétaux; matières pectiques, pectinates et pectates; agar-agar, etc."
"1504","30135","Fats and oils and their fractions, of fish or marine mammals","Grasas y aceites, y sus fracciones, de pescado o de mamíferos marinos","Graisses et huiles et leurs fractions, de poissons ou de mammifères marins"
"1604","30140","Prepared or preserved fish; caviar and caviar sustitutes prepared from fish eggs","Preparaciones y conservas de pescado; caviar y sus sucedáneos preparados con huevas de pescado","Préparations et conserves de poissons; caviar et ses succédanés préparés à partir d'oeufs de poisson"
"1605","30150","Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved","Crustáceos,moluscos y demás invertebrados acuáticos, preparados o conservados","Crustacés, mollusques et invertébrés aquatiques, préparés ou conservés"
"2103","30157","Sauces and preparations therefor; mixed condiments and mixed seasonings, etc.","Preparaciones para salsas y salsas preparadas; condimentos y sazonadores, compuestos, etc.","Préparations pour sauces et sauces préparées; condiments et assaisonnements, composés, etc."
"2301","30160","Flours, meals and pellets of meat, fish, crustaceans, molluscs, aq. Invertebrates","Harina, polvo y pellets, de carne, pescado, crustáceos, moluscos o invertebrados acuáticos","Farines, poudres et agglomérés sous forme de pellets de viandes, poissons, crustacés, mollusques, invertébrés aquatiques"
"2309","30162","Preparations of a kind used in animal feeding","Preparaciones del tipo de las utilizadas para la alimentación de los animales","Préparations des types utilisés pour l'alimentation des animaux"
"0308","30280","Aquatic invertebrates, other than crustaceans/molluscs, live, fresh, chilled, frozen, dried, salted or in brine, smoked","Invertebrados acuáticos, exc. crustáceos/moluscos, vivos, frescos, refrig.s, congel., secos, salados o salmuera,ahumados","Invertébrés aquatiques autres que crustacés/mollusques, vivants, frais, réfrig., congelés,séchés,salés ou saumure,fumés"
