"Code","ISSCFCmapping","Identifier","Name_En","Name_Es","Name_Fr"
"0301.11","","500","Ornamental freshwater fish, live","Peces ornamentales, vivos, de agua dulce","Poissons d'ornement, vivants, d'eau douce"
"0301.19","","501","Ornamental fish, live, other","Peces ornamentales, vivos, los demás","Poissons d'ornement, vivants, autres"
"0301.91","","502","Trout (Salmo spp.), live","Truchas (Salmo spp.), vivas","Truites (Salmo spp.), vivantes"
"0301.92","","503","Eels (Anguilla spp.), live","Anguilas (Anguilla spp.), vivas","Anguilles (Anguilla spp.), vivantes"
"0301.93","","504","Carp, live","Carpas, vivas","Carpes, vivantes"
"0301.94","","505","Bluefin tunas (Thunnus thynnus, Thunnus orientalis), live","Atunes comunes o de aleta azul (Thunnus thynnus, Thunnus orientalis), vivos","Thons rouges (Thunnus Thynnus, Thunnus orientalis), vivants"
"0301.95","","506","Southern bluefin tunas (Thunnus maccoyii), live","Atunes del sur (Thunnus maccoyii), vivos","Thons rouges du sud (Thunnus maccoyii), vivants"
"0301.99","","507","Other fish, live","Los demás peces, vivos","Autres poissons, vivants"
"0302.11","","508","Trout (Salmo spp.), fresh or chilled","Truchas (Salmo spp.), frescas o refrigeradas","Truites (Salmo spp.), fraîches ou réfrigérées"
"0302.13","","509","Pacific salmon, fresh or chilled","Salmones del Pacífico, frescos o refrigerados","Saumons du Pacifique, frais ou réfrigérés"
"0302.14","","510","Atlantic and Danube salmon, fresh or chilled","Salmones del Atlántico, frescos o refrigerados","Saumons de l'Atlantique et saumons du Danube, frais ou réfrigérés"
"0302.19","","511","Other salmonidae, fresh or chilled","Los demás salmónidos, frescos o refrigerados","Autres salmonidés, frais ou réfrigérés"
"0302.21","","512","Greenland, Atlantic and Pacific halibut, fresh or chilled","Halibut, fresco o refrigerado","Flétans, frais ou réfrigérés"
"0302.22","","513","Plaice (Pleuronectes platessa), fresh or chilled","Sollas (Pleuronectes platessa), frescas o refrigeradas","Plies ou carrelets (Pleuronectes platessa), frais ou réfrigérés"
"0302.23","","514","Sole (Solea spp.), fresh or chilled","Sollas (Solea spp.), frescas o refrigeradas","Soles (Solea spp.), fraîches ou réfrigérées"
"0302.24","","515","Turbots (Psetta maxima), fresh or chilled","Rodaballos (Psetta maxima), frescas o refrigeradas","Turbots (Psetta maxima), frais ou réfrigérés"
"0302.29","","516","Other flatfish, fresh or chilled","Los demás pescados planos, frescos o refrigerados","Autres poissons plats, frais ou réfrigérés"
"0302.31","","517","Albacore or longfinned tuna (Thunnus alalunga), fresh or chilled","Albacoras o atunes blancos (Thunnus alalunga), frescos o refrigerados","Thons blancs ou germons (Thunnus alalunga), frais ou réfrigérés"
"0302.32","","518","Yellowfin tunas (Thunnus albacares), fresh or chilled","Atunes de aleta amarilla [rabiles] (Thunnus albacares), frescos o refrigerados","Thons à nageoires jaunes (Thunnus albacares), frais ou réfrigérés"
