"AREA","en","es","fr","ORIGINAL_CODE","PARENT"
"31_10_2","Atlantic, West central / 31.10.2","Atl WC / 31.10.2","Atl WC / 31.10.2","31.10.2","31_10"
"31_10_3","Atlantic, West central / 31.10.3","Atl WC / 31.10.3","Atl WC / 31.10.3","31.10.3","31_10"
"31_10_4","Atlantic, West central / 31.10.4","Atl WC / 31.10.4","Atl WC / 31.10.4","31.10.4","31_10"
"31_2_1","Atlantic, West central / 31.2.1","Atl WC / 31.2.1","Atl WC / 31.2.1","31.2.1","31_2"
"31_2_2","Atlantic, West central / 31.2.2","Atl WC / 31.2.2","Atl WC / 31.2.2","31.2.2","31_2"
"31_2_3","Atlantic, West central / 31.2.3","Atl WC / 31.2.3","Atl WC / 31.2.3","31.2.3","31_2"
"31_2_4","Atlantic, West central / 31.2.4","Atl WC / 31.2.4","Atl WC / 31.2.4","31.2.4","31_2"
"31_2_5","Atlantic, West central / 31.2.5","Atl WC / 31.2.5","Atl WC / 31.2.5","31.2.5","31_2"
"31_2_6","Atlantic, West central / 31.2.6","Atl WC / 31.2.6","Atl WC / 31.2.6","31.2.6","31_2"
"31_3_1","Atlantic, West central / 31.3.1","Atl WC / 31.3.1","Atl WC / 31.3.1","31.3.1","31_3"
"31_3_2","Atlantic, West central / 31.3.2","Atl WC / 31.3.2","Atl WC / 31.3.2","31.3.2","31_3"
"31_3_3","Atlantic, West central / 31.3.3","Atl WC / 31.3.3","Atl WC / 31.3.3","31.3.3","31_3"
"31_4_1","Atlantic, West central / 31.4.1","Atl WC / 31.4.1","Atl WC / 31.4.1","31.4.1","31_4"
"31_4_2","Atlantic, West central / 31.4.2","Atl WC / 31.4.2","Atl WC / 31.4.2","31.4.2","31_4"
"31_7_1","Atlantic, West central / 31.7.1","Atl WC / 31.7.1","Atl WC / 31.7.1","31.7.1","31_7"
"31_7_2","Atlantic, West central / 31.7.2","Atl WC / 31.7.2","Atl WC / 31.7.2","31.7.2","31_7"
"31_7_3","Atlantic, West central / 31.7.3","Atl WC / 31.7.3","Atl WC / 31.7.3","31.7.3","31_7"
"31_8_1","Atlantic, West central / 31.8.1","Atl WC / 31.8.1","Atl WC / 31.8.1","31.8.1","31_8"
"31_8_2","Atlantic, West central / 31.8.2","Atl WC / 31.8.2","Atl WC / 31.8.2","31.8.2","31_8"
"51_4_1","Indian Ocean, West / 51.4.1","Ind W / 51.4.1","Ind W / 51.4.1","51.4.1","51_4"
"51_4_2","Indian Ocean, West / 51.4.2","Ind W / 51.4.2","Ind W / 51.4.2","51.4.2","51_4"
"71_6_1","Pacific, West central / 71.6.1","Pac WC / 71.6.1","Pac WC / 71.6.1","71.6.1","71_6"
"71_6_2","Pacific, West central / 71.6.2","Pac WC / 71.6.2","Pac WC / 71.6.2","71.6.2","71_6"
"81_1_1","Pacific, Southwest / 81.1.1","Pac SW / 81.1.1","Pac SW / 81.1.1","81.1.1","81_1"
"81_1_2","Pacific, Southwest / 81.1.2","Pac SW / 81.1.2","Pac SW / 81.1.2","81.1.2","81_1"
"31_7_4","Atlantic, West central / 31.7.4","Atl WC / 31.7.4","Atl WC / 31.7.4","31.7.4",
"34_0_0","Tunas (CECAF area)","Atunes (área CPACO)","Thons (zone COPACE)","34.0.0",
"34_1_9","Northern coastal, not known","Costera norte, desconocida","Côtière nord, inconnue","34.1.9","34_1"
"34_2_0","Northern oceanic","Oceánica norte","Océanique nord","34.2.0","34_2"
"34_9_0","Not known (CECAF area)","Desconocida (área CPACO)","Inconnue (zone COPACE)","34.9.0",
"37_0_0","Tunas (GFCM area)","Atunes (área CGPM)","Thons (zone CGPM)","37.0.0",
"37_9_0","Not known (GFCM area)","Desconocida (área CGPM)","Inconnue (zone CGPM)","37.9.0",
"47_0_0","Tunas (Atl.SE area)","Atunes (área Atl.sudor.)","Thons (zone Atl.S-E)","47.0.0",
"47_1_9","Western coastal, not known","Costera occidental, desconocida","Côtière occidentale, inconnue","47.1.9","47_1"
"47_2_9","Agulhas coastal, not known","Costera de Agulhas, desconocida","Côtière des Aiguilles, inconnue","47.2.9","47_2"
"47_3_0","Southern oceanic","Oceánica sur","Océanique sud","47.3.0","47_X"
"47_4_0","Tristan da Cunha","Tristan da Cunha","Tristan da Cunha","47.4.0","47_X"
"47_5_0","St Helena and Ascension","Sta Elena y Ascensión","Ste Hélène et Ascension","47.5.0","47_X"
"47_9_0","Not known (Atl.SE area)","Desconocida (área Atl.sudor.)","Inconnue (zone Atl.S-E)","47.9.0",
"51_2_0","Gulf","Golfo","Golfe","51.2.0",
"51_3_1","Oman Sea","Mar de Omán","Mer d'Oman","51.3.1",
"51_3_2","Arabian Sea (South Western)","mar Árabe sur occidental","51.3.2","51.3.2",
"21_0","Atlantic, Northwest / 21.0","Atl NW / 21.0","Atl NW / 21.0","21.0","21"
"21_1","Atlantic, Northwest / 21.1","Atl NW / 21.1","Atl NW / 21.1","21.1","21"
"21_2","Atlantic, Northwest / 21.2","Atl NW / 21.2","Atl NW / 21.2","21.2","21"
"21_3","Atlantic, Northwest / 21.3","Atl NW / 21.3","Atl NW / 21.3","21.3","21"
"21_4","Atlantic, Northwest / 21.4","Atl NW / 21.4","Atl NW / 21.4","21.4","21"
"21_5","Atlantic, Northwest / 21.5","Atl NW / 21.5","Atl NW / 21.5","21.5","21"
"21_6","Atlantic, Northwest / 21.6","Atl NW / 21.6","Atl NW / 21.6","21.6","21"
"27_1","Atlantic, Northeast / 27.1","Atlántico, nordeste / 27.1","Atlantique, nord-est / 27.1","27.1","27"
"27_10","Atlantic, Northeast / 27.10","Atlántico, nordeste / 27.10","Atlantique, nord-est / 27.10","27.10","27"
"27_12","Atlantic, Northeast / 27.12","Atlántico, nordeste / 27.12","Atlantique, nord-est / 27.12","27.12","27"
"27_14","Atlantic, Northeast / 27.14","Atlántico, nordeste / 27.14","Atlantique, nord-est / 27.14","27.14","27"
"27_2","Atlantic, Northeast / 27.2","Atlántico, nordeste / 27.2","Atlantique, nord-est / 27.2","27.2","27"
"27_3","Atlantic, Northeast / 27.3","Atlántico, nordeste / 27.3","Atlantique, nord-est / 27.3","27.3","27"
"27_4","Atlantic, Northeast / 27.4","Atlántico, nordeste / 27.4","Atlantique, nord-est / 27.4","27.4","27"
"27_5","Atlantic, Northeast / 27.5","Atlántico, nordeste / 27.5","Atlantique, nord-est / 27.5","27.5","27"
"27_6","Atlantic, Northeast / 27.6","Atlántico, nordeste / 27.6","Atlantique, nord-est / 27.6","27.6","27"
"27_7","Atlantic, Northeast / 27.7","Atlántico, nordeste / 27.7","Atlantique, nord-est / 27.7","27.7","27"
"27_8","Atlantic, Northeast / 27.8","Atlántico, nordeste / 27.8","Atlantique, nord-est / 27.8","27.8","27"
"27_9","Atlantic, Northeast / 27.9","Atlántico, nordeste / 27.9","Atlantique, nord-est / 27.9","27.9","27"
"34_1","Northern coastal subarea","Subárea costera norte","Sous-zone côtière nord","34.1","34"
"34_2","Northern oceanic subarea","Subárea oceánica norte","Sous-zone océanique nord","34.2","34"
"34_3","Southern coastal subarea","Subárea costera sur","Sous-zone côtière sud","34.3","34"
"34_4","Southern oceanic subarea","Subárea oceánica sur","Sous-zone océanique sud","34.4","34"
"37_1","Western subarea","Subárea occidental","Sous-zone occidentale","37.1","37"
"37_2","Central subarea","Subárea central","Sous-zone centrale","37.2","37"
"37_3","Eastern subarea","Subárea oriental","Sous-zone orientale","37.3","37"
"37_4","Black Sea subarea","Subárea mar Negro","Sous-zone mer Noire","37.4","37"
"41_1","Atlantic, Southwest / 41.1","Atl SW / 41.1","Atl SW / 41.1","41.1","41"
"41_2","Atlantic, Southwest / 41.2","Atl SW / 41.2","Atl SW / 41.2","41.2","41"
"41_3","Atlantic, Southwest / 41.3","Atl SW / 41.3","Atl SW / 41.3","41.3","41"
"47_1","Western coastal subarea","Subárea costera occidental","Sous-zone côtière occidentale","47.1","47"
"47_2","Agulhas coastal subarea","Subárea costera de Agulhas","Sous-zone côtière des Aiguilles","47.2","47"
"47_3","Southern oceanic subarea","Subárea oceánica sur","Sous-zone océanique sud","47.3",
"47_4","Tristan da Cunha subarea","Subárea Tristan da Cunha","Sous-zone Tristan da Cunha","47.4",
"47_5","St Helena and Ascension subarea","Subárea de Sta Elena y Ascensión","Sous-zone Ste Hélène et Ascension","47.5",
"48_1","Atlantic Antarctic / 48.1","Atl Antar / 48.1","Atl Antar / 48.1","48.1","48"
"48_2","Atlantic Antarctic / 48.2","Atl Antar / 48.2","Atl Antar / 48.2","48.2","48"
"48_3","Atlantic Antarctic / 48.3","Atl Antar / 48.3","Atl Antar / 48.3","48.3","48"
"48_4","Atlantic Antarctic / 48.4","Atl Antar / 48.4","Atl Antar / 48.4","48.4","48"
"48_5","Atlantic Antarctic / 48.5","Atl Antar / 48.5","Atl Antar / 48.5","48.5","48"
"48_6","Atlantic Antarctic / 48.6","Atl Antar / 48.6","Atl Antar / 48.6","48.6","48"
"51_1","Red Sea subarea","Subárea mar Rojo","Sous-zone mer Rouge","51.1","51"
"51_2","Gulf subarea","Subárea Golfo","Sous-zone Golfe","51.2","51"
"51_3","Western Arabian Sea subarea","Subárea mar Árabe occidental","Sous-zone mer Arabe occidental","51.3","51"
"51_4","Indian Ocean, West / 51.4","Ind W / 51.4","Ind W / 51.4","51.4","51"
"51_5","Indian Ocean, West / 51.5","Ind W / 51.5","Ind W / 51.5","51.5","51"
"51_6","Indian Ocean, West / 51.6","Ind W / 51.6","Ind W / 51.6","51.6","51"
"51_7","Indian Ocean, West / 51.7","Ind W / 51.7","Ind W / 51.7","51.7","51"
"51_8","Indian Ocean, West / 51.8","Ind W / 51.8","Ind W / 51.8","51.8","51"
"57_1","Indian Ocean, East / 57.1","Ind E / 57.1","Ind E / 57.1","57.1","57"
"57_2","Indian Ocean, East / 57.2","Ind E / 57.2","Ind E / 57.2","57.2","57"
"57_3","Indian Ocean, East / 57.3","Ind E / 57.3","Ind E / 57.3","57.3","57"
"57_4","Indian Ocean, East / 57.4","Ind E / 57.4","Ind E / 57.4","57.4","57"
"57_5","Indian Ocean, East / 57.5","Ind E / 57.5","Ind E / 57.5","57.5","57"
"57_6","Indian Ocean, East / 57.6","Ind E / 57.6","Ind E / 57.6","57.6","57"
"58_4","Indian Antarctic 58.4","Ind Antar 58.4","Ind Antar 58.4","58.4","58"
"58_5","Indian Antarctic 58.5","Ind Antar 58.5","Ind Antar 58.5","58.5","58"
"58_6","Indian Antarctic 58.6","Ind Antar 58.6","Ind Antar 58.6","58.6","58"
"58_7","Indian Antarctic 58.7","Ind Antar 58.7","Ind Antar 58.7","58.7","58"
"88_1","Pacific Antarctic / 88.1","Pac Antar / 88.1","Pac Antar / 88.1","88.1","88"
"88_2","Pacific Antarctic / 88.2","Pac Antar / 88.2","Pac Antar / 88.2","88.2","88"
"88_3","Pacific Antarctic / 88.3","Pac Antar / 88.3","Pac Antar / 88.3","88.3","88"
"87_1","Pacific, Southeast / 87.1","Pacific, Southeast / 87.1","Pacific, Southeast / 87.1","87.1","87"
"87_2","Pacific, Southeast / 87.2","Pacific, Southeast / 87.2","Pacific, Southeast / 87.2","87.2","87"
"87_3","Pacific, Southeast / 87.3","Pacific, Southeast / 87.3","Pacific, Southeast / 87.3","87.3","87"
"47_X","Oceanic subarea","Subárea oceánica","Sous-zone océanique","47.X","47"
"31_1","Atlantic, West central / 31.1","Atl WC / 31.1","Atl WC / 31.1","31.1",
"31_10","Atlantic, West central / 31.10","Atl WC / 31.10","Atl WC / 31.10","31.10",
"31_11","Atlantic, West central / 31.11","Atl WC / 31.11","Atl WC / 31.11","31.11",
"31_2","Atlantic, West central / 31.2","Atl WC / 31.2","Atl WC / 31.2","31.2",
"31_3","Atlantic, West central / 31.3","Atl WC / 31.3","Atl WC / 31.3","31.3",
"31_4","Atlantic, West central / 31.4","Atl WC / 31.4","Atl WC / 31.4","31.4",
"31_5","Atlantic, West central / 31.5","Atl WC / 31.5","Atl WC / 31.5","31.5",
"31_6","Atlantic, West central / 31.6","Atl WC / 31.6","Atl WC / 31.6","31.6",
"31_7","Atlantic, West central / 31.7","Atl WC / 31.7","Atl WC / 31.7","31.7",
"31_8","Atlantic, West central / 31.8","Atl WC / 31.8","Atl WC / 31.8","31.8",
"31_9","Atlantic, West central / 31.9","Atl WC / 31.9","Atl WC / 31.9","31.9",
"71_1","Pacific, West central / 71.1","Pac WC / 71.1","Pac WC / 71.1","71.1",
"71_2","Pacific, West central / 71.2","Pac WC / 71.2","Pac WC / 71.2","71.2",
"71_3","Pacific, West central / 71.3","Pac WC / 71.3","Pac WC / 71.3","71.3",
"71_4","Pacific, West central / 71.4","Pac WC / 71.4","Pac WC / 71.4","71.4",
"71_5","Pacific, West central / 71.5","Pac WC / 71.5","Pac WC / 71.5","71.5",
"71_6","Pacific, West central / 71.6","Pac WC / 71.6","Pac WC / 71.6","71.6",
"71_7","Pacific, West central / 71.7","Pac WC / 71.7","Pac WC / 71.7","71.7",
"71_8","Pacific, West central / 71.8","Pac WC / 71.8","Pac WC / 71.8","71.8",
"81_1","Pacific, Southwest / 81.1","Pac SW / 81.1","Pac SW / 81.1","81.1",
"81_2","Pacific, Southwest / 81.2","Pac SW / 81.2","Pac SW / 81.2","81.2",
"81_3","Pacific, Southwest / 81.3","Pac SW / 81.3","Pac SW / 81.3","81.3",
"81_4","Pacific, Southwest / 81.4","Pac SW / 81.4","Pac SW / 81.4","81.4",
"81_5","Pacific, Southwest / 81.5","Pac SW / 81.5","Pac SW / 81.5","81.5",
"81_6","Pacific, Southwest / 81.6","Pac SW / 81.6","Pac SW / 81.6","81.6",
"81_7","Pacific, Southwest / 81.7","Pac SW / 81.7","Pac SW / 81.7","81.7",
"47_8","Atlantic, Southeast / 47.8","Atl SE / 47.8","Atl SE / 47.8","47.8",
"61_1","Pacific, Northwest / 61.1","Pac NW / 61.1","Pac NW / 61.1","61.1",
"61_2","Pacific, Northwest / 61.2","Pac NW / 61.2","Pac NW / 61.2","61.2",
"61_3","Pacific, Northwest / 61.3","Pac NW / 61.3","Pac NW / 61.3","61.3",
"61_4","Pacific, Northwest / 61.4","Pac NW / 61.4","Pac NW / 61.4","61.4",
"67_1","Pacific, Northeast / 67.1","Pac NE / 67.1","Pac NE / 67.1","67.1",
"67_2","Pacific, Northeast / 67.2","Pac NE / 67.2","Pac NE / 67.2","67.2",
"67_3","Pacific, Northeast / 67.3","Pac NE / 67.3","Pac NE / 67.3","67.3",
"01","Africa - Inland waters","África - Aguas continentales","Afrique - Eaux continentales","",
"02","America, North - Inland waters","América del Norte - Aguas continentales","Amérique du Nord - Eaux continentales","",
"03","America, South - Inland waters","América del Sur - Aguas continentales","Amérique du Sud - Eaux continentales","",
"04","Asia - Inland waters","Asia - Aguas continentales","Asie - Eaux continentales","",
"05","Europe - Inland waters","Europa - Aguas continentales","Europe - Eaux continentales","",
"06","Oceania - Inland waters","Oceanía - Aguas continentales","Océanie - Eaux continentales","",
"07","Former USSR area - Inland waters","Área de la ex URSS - Aguas continentales","Zone de l'ex-URSS - Eaux continentales","",
"18","Arctic Sea","Mar Ártico","Mer Arctique","",
"21","Atlantic, Northwest","Atlántico, noroeste","Atlantique, nord-ouest","",
"27","Atlantic, Northeast","Atlántico, nordeste","Atlantique, nord-est","",
"31","Atlantic, Western Central","Atlántico, centro-occidental","Atlantique, centre-ouest","",
"34","Atlantic, Eastern Central","Atlántico, centro-oriental","Atlantique, centre-est","",
"37","Mediterranean and Black Sea","Mediterráneo y Mar Negro","Méditerranée et mer Noire","",
"41","Atlantic, Southwest","Atlántico, sudoccidental","Atlantique, sud-ouest","",
"47","Atlantic, Southeast","Atlántico, sudoriental","Atlantique, sud-est","",
"48","Atlantic, Antarctic","Atlántico, Antártico","Atlantique, Antarctique","",
"51","Indian Ocean, Western","Océano Índico, occidental","Océan Indien, ouest","",
"57","Indian Ocean, Eastern","Océano Índico, oriental","Océan Indien, est","",
"58","Indian Ocean, Antarctic","Océano Índico, Antártico","Océan Indien, Antarctique","",
"61","Pacific, Northwest","Pacífico, noroeste","Pacifique, nord-ouest","",
"67","Pacific, Northeast","Pacífico, nordeste","Pacifique, nord-est","",
"71","Pacific, Western Central","Pacífico, centro-occidental","Pacifique, centre-ouest","",
"77","Pacific, Eastern Central","Pacífico, centro-oriental","Pacifique, centre-est","",
"81","Pacific, Southwest","Pacífico, sudoccidental","Pacifique, sud-ouest","",
"87","Pacific, Southeast","Pacífico, sudoriental","Pacifique, sud-est","",
"88","Pacific, Antarctic","Pacífico, Antártico","Pacifique, Antarctique","",
"98","Antarctic areas nei","Áreas antárticas nep","Zones antarctiques nca","",
"99","Marine areas outside the Antarctic","Áreas marítimas fuera del Antártico","Zones maritimes hors de l'Antarctique","",
"08","Antarctica - Inland waters","Antártida - Aguas continentales","Antarctique - Eaux continentales","",
