ALPHA3CODE,FULL_NAME_E,FULL_NAME_F,FULL_NAME_S,SCIENTIFIC_NAME,AUTHOR
KDF,American slipper-limpet,Crepidule,Seba,Crepidula fornicata,(Linnaeus 1758)
TXF,,,,Tellina fabula,(Gronovius 1781)
EUG,Northern right whale,Baleine de Biscaye,Ballena franca,Eubalaena glacialis,(Muller 1776)
CPM,Pygmy right whale,Baleine pygmée,Ballena franca pigmea,Caperea marginata,(Gray 1846)
GRW,Gray whale,Baleine grise,Ballena gris,Eschrichtius robustus,(Lilljeborg 1861)
PYW,Pygmy sperm whale,Cachalot pygmée,Cachalote pigmeo,Kogia breviceps,(de Blainville 1838)
DWW,Dwarf sperm whale,Cachalot nain,Cachalote enano,Kogia sima,Owen 1866
JOD,John dory,Saint Pierre,Pez de San Pedro,Zeus faber,Linnaeus 1758
BOR,Boarfishes nei,Sangliers nca,Ochavos nep,Caproidae,
BOE,Black oreo,,,Allocyttus niger,"James, Inada & Nakamura 1988"
ALL,Warty dory,,,Allocyttus verrucosus,(Gilchrist 1906)
BAR,Barracudas nei,Bécunes nca,Picudas nep,Sphyraena spp,
ALF,Alfonsinos nei,Béryx nca,Alfonsinos nep,Beryx spp,
ZNE,Mirror dory,,,Zenopsis nebulosus,(Temminck & Schlegel 1845)
BAW,Arnoux's beaked whale,Béradien d'Arnoux,Ballenato de Arnoux,Berardius arnuxii,Duvernoy 1851
SRW,Southern bottlenose whale,Hyperoodon austral,Ballena nariz de botella sur,Hyperoodon planifrons,Flower 1882
YQY,Lynx cowrie,Porcelaine lynx,,Cyprea lynx,Linnaeus 1758
YQM,Reticulated cowrie,Porcelaine réticulée,,Cyprea maculifera,Schilder 1932
YQO,Money cowrie,Porcelaine monnaie,,Cyprea moneta,Linnaeus 1758
YQV,Walled cowrie,Porcelaine anneau d'or Tahiti,,Cyprea obvelata,Lamarck 1810
YQX,Onyx cowrie,Porcelaine onyx,,Cyprea onyx,Linnaeus 1758
YQH,Schilders' cowrie,Porcelaine de Schilder,,Cyprea schilderorum,Iredale 1939
YPZ,Jester cowrie,Porcelaine bouffon,,Cyprea scurra,Gmelin 1791
YQN,Tummy cowrie,Porcelaine gésier,,Cyprea ventriculus,Lamarck 1810
OVO,Common egg cowrie,Ovule commune,,Ovula ovum,(Linnaeus 1758)
TUN,Tunas nei,Thonidés nca,Atunes nep,Thunnini,
BON,Atlantic bonito,Bonite à dos rayé,Bonito del Atlántico,Sarda sarda,(Bloch 1793)
XKX,Plesionika shrimps nei,Crevettes Plesionika nca,Camarones Plesionika nep,Plesionika spp,
DRI,Indian driftfish,Ariomme indienne,Arioma índica,Ariomma indica,(Day 1871)
BSP,Warehou nei,Sériolelles nca,Cojinobas nep,Seriolella spp,
SEM,Common warehou,,,Seriolella brama,(Günther 1860)
FGG,Giant gourami,Gourami géant,Gurami gigante,Osphronemus goramy,Lacépède 1801
GOM,Gouramis nei,Gouramis nca,Guramis nep,Trichogaster spp,
FGB,"Gudgeons, sleepers nei","Gudgeons, dormeurs nca",Durmientes nep,Eleotridae,
GBM,Marble goby,,,Oxyeleotris marmorata,(Bleeker 1852)
FGX,Freshwater gobies nei,Gobies d'eau douce nca,Góbidos de agua dulce nep,Gobiidae,
GPA,Gobies nei,Gobies nca,Góbidos nep,Gobiidae,
GOB,Atlantic gobies nei,Gobies de l'Atlantique nca,"Góbidos, chaparrudos nep",Gobius spp,
GBN,Black goby,Gobie noir,Chaparrudo,Gobius niger,Linnaeus 1758
WPX,Pleoticus shrimps nei,Salicoques Pleoticus nca,Camarones Pleoticus nep,Pleoticus spp,
ZPE,Pacific goose barnacle,Pouce-pied du Pacifique,Percebe del Pacífico,Pollicipes elegans,
ZPP,Leaf barnacle,Pouce-pied canadien,Percebe canadiense,Pollicipes polymerus,Sowerby 1833
QPH,Henslow’s swimming crab,Crabe à sardine,Patelo,Polybius henslowii,Leach 1820
QAI,,,Cangrejo mandarín,Portunus haanii,(Schmitt 1858)
RXK,Processa shrimps nei,Crevettes Processa nca,Camarones Processa nep,Processa spp,
URH,Whip lobsters nei,Langoustes Puerulus nca,Langostas Puerulus nep,Puerulus spp,
LEZ,Megrims nei,Cardines nca,Gallos nep,Lepidorhombus spp,
MEG,Megrim,Cardine franche,Gallo del Norte,Lepidorhombus whiffiagonis,(Walbaum 1792)
LDB,Four-spot megrim,Cardine à quatre taches,Gallo de cuatro manchas,Lepidorhombus boscii,(Risso 1810)
BLL,Brill,Barbue,Rémol,Scophthalmus rhombus,(Linnaeus 1758)
TUR,Turbot,Turbot,Rodaballo,Psetta maxima,(Linnaeus 1758)
CIT,Citharids nei,Feuilles nca,Solletas nep,Citharidae,
ORD,Oreo dories nei,Oréos nca,Oreós nep,Oreosomatidae,
FIS,Indonesian snakehead,Tête de serpent d'Indonésie,Cabeza de serpiente rojo,Channa micropeltes,(Cuvier 1831)
CUX,Sea cucumbers nei,Bèches-de-mer nca,Cohombros de mar nep,Holothuroidea,
SSR,Red bait,,,Pyura stolonifera,(Heller 1878)
SSE,Red sea squirt,Violet chilien,Piure chileno,Pyura chilensis,Molina 1782
SIZ,Spirulina nei,Spirulina nca,Spirulina nep,Spirulina spp,
CAU,Caulerpa seaweeds,Algues caulerpes,Algas caulerpa,Caulerpa spp,
UVP,Lacy sea lettuce,,,Ulva pertusa,Kjellman 1897
URM,Stony sea urchin,Oursin-pierre,Erizo de mar,Paracentrotus lividus,Lamarck 1816
DKZ,Deepsea urchin,,,Dermechinus horridus,(A. Agassiz 1879)
KPE,Goree slipper shell,Crepidule sandale,Concha sandalia,Crepidula goreensis,(Gmelin 1791)
FSU,Cloudy keyhole limpet,Fissurelle nuageuse,Fisurela nebulosa,Fissurella nubecula,(Linnaeus 1758)
HXR,Angular murex,Rocher anguleux,Cañailla africana,Hexaplex angularis,(Lamarck 1822)
BOQ,Horned murex,Rocher cornu,Cañailla cornuda,Bolinus cornutus,(Linnaeus 1758)
FNX,Duplex murex,Rocher duplex,Cañailla espinuda,Phyllonotus duplex,(Roding 1789)
ISD,Nodose rock shell,Ovarque noueuse,Púrpura nudosa,Thais nodosa,(Linnaeus 1758)
ULJ,Miran bullia,Bullie de miran,Bulia de Miran,Bullia miran,(Bruguière 1789)
WTP,Tahiti petrel,,,Pseudobulweria rostrata,(Peale 1848)
SAX,Sauries nei,"Balaous, bananes de mer nca",Papardas nep,Scomberesocidae,
FLY,Flyingfishes nei,Exocets nca,Voladores nep,Exocoetidae,
HAX,Halfbeaks nei,Demi-becs nca,Agujetas nep,Hemiramphus spp,
CIV,Citharinus nei,Citharinus nep,Citharinus nca,Citharinus spp,
FCK,False gorgon,Fausse gorgone,Tallo chino,Sphaerococcus coronopifolius,Stackhouse 1797
JLM,Magellanic ptilonia,Ptilonie de Magellan,Tilonia de Magallanes,Ptilonia magellanica,(Montagne) J. Agardh 1852
BLX,Ballia,Ballia,Balia,Ballia callitricha,(C. Agardh) Kutzing 1843
TLG,Guinean tilapia,,,Tilapia guineensis,(Günther 1862)
AST,Velvety cichlids,,Acarahuazu,Astronotus spp,
AER,Green terror,,Vieja azul,Aequidens rivulatus,(Günther 1860)
YBB,Yellow-belly bream,,,Serranochromis robustus,(Günther 1864)
CHK,Blackbelt cichlid,,,Cichlasoma maculicauda,Regan 1905
CHH,Mexican mojarra,,Mojarra del México,Cichlasoma urophthalmus,(Günther 1862)
TLZ,Redbelly tilapia,,,Tilapia zillii,(Gervais 1848)
TLR,Redbreast tilapia,,,Tilapia rendalli,(Boulenger 1897)
GJO,Chaffweed,Menue paille marine,Pajilla marina,Gelidiella acerosa,(Forsskål) Feldmann & Hamel 1934
GKK,Segmented gracilaria,,,Gracilaria salicornia,(C. Agardh) Dawson 1854
UKD,Mottled sea club,,,Eucheuma arnoldii,Weber-van Bosse 1928
YEB,Tufted sea moss,,,Hypnea boergesenii,Tanaka 1941
KHI,Erect sea moss,,,Acanthophora spicifera,(Vahl) Boergesen 1910
SGU,Goldlined spinefoot,Sigan raies d'or,Sigano rayas doradas,Siganus guttatus,(Bloch 1787)
SNK,Snoek,Escolier,Sierra,Thyrsites atun,(Euphrasen 1791)
WSM,White snake mackerel,Escolier blanc,Escolar sierra,Thyrsitops lepidopoides,(Cuvier 1832)
OIL,Oilfish,Rouvet,Escolar clavo,Ruvettus pretiosus,Cocco 1833
LHT,Largehead hairtail,Poisson-sabre commun,Pez sable,Trichiurus lepturus,Linnaeus 1758
BSF,Black scabbardfish,Sabre noir,Sable negro,Aphanopus carbo,Lowe 1839
KKR,Clear sundial,Solarium clair,,Architectonica perspectiva,(Linnaeus 1758)
DBU,Shoulderblade sea cat,Dolabelle commune,,Dolabella auricularia,(Lightfoot 1786)
EBD,Judas ear cassidula,Auricule de Judas,,Ellobium aurisjudae,(Linnaeus 1758)
EBM,Midas ear cassidula,Auricule de Midas,,Ellobium aurismidae,(Linnaeus 1758)
YHS,Common pythia,Pythie scarabee,,Pythia scarabeus,(Linnaeus 1758)
FNJ,Javanese false limpet,Siphonaire de Java,,Siphonaria javanica,(Lamarck 1819)
FNL,Fringed false limpet,Siphonaire laciniée,,Siphonaria laciniosa,(Linnaeus 1758)
FNS,Sirius false limpet,Siphonaire de Sirius,,Siphonaria sirius,Pilsbry 1894
KSF,Flame helmet,Casque flamme,Casco flameante,Cassis flammea,(Linnaeus 1758)
KSD,Emperor helmet,Casque imperial,Casco imperial,Cassis madagascariensis,Lamarck 1822
YQE,Eglantine cowrie,Porcelaine églantine,,Cyprea eglantina,Duclos 1833
BAU,Australian bonito,Bonite bagnard,Bonito austral,Sarda australis,(Macleay 1881)
MAC,Atlantic mackerel,Maquereau commun,Caballa del Atlántico,Scomber scombrus,Linnaeus 1758
BOP,Plain bonito,Palomette,Tasarte,Orcynopsis unicolor,(Geoffroy St. Hilaire 1817)
DOT,Dogtooth tuna,Bonite à gros yeux,Casarte ojón,Gymnosarda unicolor,(Rüppell 1836)
RAX,Indian mackerels nei,Maquereaux indo-pacifique nca,Caballas del Indo-Pacífico nep,Rastrelliger spp,
RAB,Short mackerel,Maquereau trapu,Caballa rechoncha,Rastrelliger brachysoma,(Bleeker 1851)
RAG,Indian mackerel,Maquereau des Indes,Caballa de la India,Rastrelliger kanagurta,(Cuvier 1816)
RAF,Island mackerel,Maquereau des îles,Caballa isleña,Rastrelliger faughni,Matsui 1967
SQG,Angolan flying squid,Toutenon angolais,Pota angolense,Todarodes angolensis,Adam 1962
SQS,Sevenstar flying squid,Encornet étoile,Pota festoneada,Martialia hyadesi,Rochebrune & Mabille 1889
OCN,White-spotted octopus,Poulpe tacheté,Pulpo patudo,Octopus macropus,Risso 1826
CLX,"Clams, etc. nei","Clams, etc. nca","Almejas, etc. nep",Bivalvia,
MSH,Marine shells nei,Coquilles marines nca,Conchas marinas nep,Ex Mollusca,
SXX,Seals nei,Phoques nca,Focas nep,"Otariidae, Phocidae",
SEC,Harbour seal,Phoque veau marin,Foca común,Phoca vitulina,(Linnaeus 1758)
SLR,Ribbon seal,Phoque à rubans,Foca fajada,Phoca fasciata,(Zimmerman 1783)
SST,Larga seal,Veau marin du Pacifique,Foca largha,Phoca largha,(Pallas 1811)
SET,Crabeater seal,Phoque crabier,Foca cangrejera,Lobodon carcinophagus,(Hombron & Jacquinot 1842)
BEW,Baird's beaked whale,Baleine à bec de Baird,Zifio de Baird,Berardius bairdii,Stejneger 1883
SEF,South American fur seal,Otarie d'Amérique du Sud,Lobo fino austral,Arctocephalus australis,(Zimmerman 1783)
SEL,South American sea lion,Lion de mer d'Amérique du Sud,Lobo común,Otaria flavescens,(Shaw 1800)
AXT,Hydrocorals,Hydrocoralliaires,Corales de encaje,Stylasteridae,
AXD,Blue panchax,,,Aplocheilus panchax,(Hamilton 1822)
EWN,Mottled eel,,,Anguilla nebulosa,McClelland 1844
BMD,,,,Hemibagrus wyckii,(Bleeker 1858)
BXM,,,,Mystus spp,
NQN,,,,Channa lucius,(Cuvier 1831)
CZG,,,,Clarias nieuhofii,Valenciennes 1840
CVU,Sumatran river sprat,,,Clupeichthys goniognathus,Bleeker 1855
TWN,Longtail shad,,,Tenualosa macrura,(Bleeker 1852)
YCQ,,,,Cyclocheilichthys armatus,(Valenciennes 1842)
EQQ,Flying fox,,,Epalzeorhynchos kalopterus,(Bleeker 1851)
HNZ,Siamese mud carp,,,Henicorhynchus siamensis,(Sauvage 1881)
FUV,Bladder wrack,Chone marin,Fucus,Fucus vesiculosus,Linnaeus 1753
DVA,Bull kelp,Durvillée antarctique,Cochayuyo,Durvillaea antarctica,(Chamisso) Hariot 1892
GKF,,,Liquen gomoso,Gymnogongrus furcellatus,(C. Agardh) J. Agrardh
EMA,Elkhorn sea moss,,,Kappaphycus alvarezii,(Doty) Doty 1988
LNJ,Japanese kelp,Laminaire du Japon,Laminaria del Japón,Laminaria japonica,Areschoug 1851
UDP,Wakame,Wakamé,Abeto marino,Undaria pinnatifida,(Harvey) Suringar 1873
EOZ,,,Chascón nep,Lessonia spp,
LJX,Chilean kelp,,Chascón,Lessonia nigrescens,Bory 1826
BVG,Channel bull blenny,Toreau de Patagonie,Torito de los canales,Cottoperca gobio,(Günther 1861)
LZY,,,,Lycenchelys spp,
MWM,,,,Melamphaes microps,(Günther 1878)
PZS,,,,Pagetopsis maculatus,Barsukov & Permitin 1958
RKZ,Scaldback,Fausse limande de Kessler,Peluda,Arnoglossus kessleri,Schmidt 1915
AVX,Sand smelts nei,,Pejerreyes mediterráneos nep,Atherina spp,
LWD,,,Barbo ibérico,Luciobarbus bocagei,(Steindachner 1864)
LWK,,,Barbo comizo,Luciobarbus comizo,(Steindachner 1864)
BZD,Blackbar hogfish,Porceau dos noir,Vieja lomonegro,Bodianus speciosus,(Bowdich 1825)
CZT,Ocean triggerfish,,Sobaco lija,Canthidermis sufflamen,(Mitchill 1815)
TVY,,,Picuca,Cataetyx laticeps,Koefoed 1927
JCN,Emerald wrasse,Centrolabre truite,Romero,Centrolabrus trutta,(Lowe 1834)
JPV,White snook,Crossie argenté,Róbalo plateado,Centropomus viridis,Lockington 1877
YCX,Centroscyllium dogfishes nei,Aiguillats Centroscyllium nca,Tollos Centroscyllium nep,Centroscyllium spp,
OFW,Tuskfishes nei,Maldagues nca,Viejas nep,Choerodon spp,
HZL,Azores chromis,Castagnole à queue rayée,Fula blanca,Chromis limbata,(Valenciennes 1833)
YOW,Nigerian tonguesole,Sole-langue nigérienne,Lengua nigeriana,Cynoglossus browni,Chabanaud 1949
YGC,Stripped weakfish,,Corvinata listada,Cynoscion guatucupa,(Cuvier 1830)
IUJ,Panama brief squid,Calmar doigtier panaméen,Calamar dedal panameño,Lolliguncula panamensis,Berry 1911
UHS,Caribbean reef squid,Calmar ris,Calamar de arrecife,Sepioteuthis sepioidea,(Blainville 1823)
UHL,Bigfin reef squid,Calmar tonnelet,Calamar manopla,Sepioteuthis lessoniana,Lesson 1830
ACH,Arctic char,Omble-chevalier,Trucha alpina,Salvelinus alpinus,(Linnaeus 1758)
IDI,Southern brook lamprey,Lamproie méridionale,,Ichthyomyzon gagei,Hubbs & Trautman 1937
IDJ,Mountain brook lamprey,Lamproie d’Allegheny,,Ichthyomyzon greeleyi,Hubbs & Trautman 1937
HYD,Ratfishes nei,Chimères nca,Quimeras nep,Hydrolagus spp,
CYV,Dark ghost shark,,,Hydrolagus novaezealandiae,(Fowler 1911)
STT,"Stingrays, butterfly rays nei","Pastenagues, etc. nca","Pastinacas, etc. nep",Dasyatidae,
LVG,Papuan black snapper,Vivaneau de Papua,Pargo de Papua,Lutjanus goldiei,(Macleay 1882)
HVT,Eastern pomfred,,,Schuettea scalaripinnis,Steindachner 1866
KSS,Tessellate helmet,Casque à damier,Casco teselado,Cassis tessellata,(Gmelin 1791)
QPM,Cinnabar limpet,,,Patella miniata,Born 1778
KED,Cut-off swamp cerith,,,Cerithidea decollata,(Linnaeus 1767)
NBT,Antarctic whelk,Buccin antarctique,Bucino antártico,Neobuccinum eatoni,(Smith 1875)
FOL,Antarctic trophon,Trophon antarctique,Busano antártico,Trophon albolabratus,Smith 1875
NCI,Antarctic limpet,Patelle antarctique,Patela antártica,Nacella concinna,Strebel 1908
NCJ,Depressed limpet,Patelle plate,Patela chata,Nacella edgari,Powell 1957
NKG,Kerguelen limpet,Patelle de Kerguelen,Patela de Kerguelen,Nacella kerguelenensis,(Smith 1877)
QPB,Subantarctic struthiolaria,Struthiolaire subantarctique,Strutiolaria subantarctica,Perissodonta mirabilis,(Smith 1875)
HVC,Charcot's volute,Volute de Charcot,Voluta de Charcot,Harpovoluta charcoti,(Lamy 1910)
VCP,Challenger volute,Volute de Challenger,Voluta del Challenger,Provocator pulcher,Watson 1882
HWL,Giant trahira,,Aimara,Hoplias macrophthalmus,(Pellegrin 1907)
SBM,Duckbill catfish,,,Sorubim lima,(Bloch & Schneider 1801)
UDF,Barred sorubim,,,Pseudoplatystoma fasciatum,(Linnaeus 1766)
DSQ,Masked booby,,Bobo enmascarado,Sula dactylatra,Lesson 1831
ELE,European eel,Anguille d'Europe,Anguila europea,Anguilla anguilla,(Linnaeus 1758)
ELU,Short-finned eel,Anguille d'Australie,Anguila australiana,Anguilla australis,Richardson 1841
DPC,Daggertooth pike conger,Murénésoce-dague,Morenocio dentón,Muraenesox cinereus,(Forsskål 1775)
CGZ,Conger eels nei,Congres nca,Congrios nep,Conger spp,
COA,American conger,Congre d'Amérique,Congrio americano,Conger oceanicus,(Mitchill 1818)
NKM,Flamed moon snail,Natice flammée,Nática flamante,Natica fulminea,(Gmelin 1791)
BZC,Nurse tetra,,,Brycinus nurse,(Rüppell 1832)
LZH,Abu mullet,,,Liza abu,(Heckel 1843)
QMC,Caml grenadier,,,Macrourus caml,"McMillan, Iwamoto, Stewart & Smith 2012"
PSU,Groovesided scallop,,,Pecten sulcicostatus,Sowerby 1842
SCZ,New Zealand scallop,Pecten de Nouvelle-Zélande,Vieira de Nueva Zelandia,Pecten novaezelandiae,Reeve 1852
SCC,Calico scallop,Peigne calicot,Peine percal,Argopecten gibbus,(Linnaeus 1758)
SCH,Pacific calico scallop,Pétoncle volant,Peine volador,Argopecten ventricosus,(Sowerby 1842)
ISC,Iceland scallop,Peigne islandais,Peine islándico,Chlamys islandica,(Muller 1776)
CMF,Farrer's scallop,,,Chlamys farreri,(Jones & Preston 1904)
MSX,Sea mussels nei,Moules nca,Mejillones nep,Mytilidae,
MUK,Korean mussel,Moule coréenne,Mejillón coreano,Mytilus coruscus,Gould 1861
CHC,Choro mussel,Moule choro,Choro,Choromytilus chorus,(Molina 1782)
MSV,Green mussel,Moule verte asiatique,Mejillón verde,Perna viridis,(Linnaeus 1758)
MSI,Indian brown mussel,,,Perna indica,Kuriakose & Nair 1976
COZ,Cockles nei,Coques nca,Berberechos(=Cárdidos) nep,Cardiidae,
MAT,Mactra surf clams nei,Mactres et spisules nca,Mactras y pechinas nep,Mactridae,
MAG,Smooth mactra,Mactre lisse,Mactra lisa,Mactra glabrata,Linnaeus 1767
MUS,Blue mussel,Moule commune,Mejillón común,Mytilus edulis,Linnaeus 1758
MYA,Australian mussel,Moule d'Australie,Mejillón de Australia,Mytilus planulatus,Lamarck 1819
UTK,Leucoptera bobtail squid,Sépiole leucoptère,Globito leucóptero,Stoloteuthis leucoptera,(Verrill 1878)
EYZ,Southern bobtail squid,Sépiole du Tasmanie,Globito de Tasmania,Euprymna tasmanica,(Pfeffer 1884)
EDZ,Southern bottletail squid,Sépiolette du sud,Sepiolilla sureña,Sepiadarium austrinum,Berry 1921
HVJ,Japanese smelt,,,Hypomesus nipponensis,McAllister 1963
SZM,Japanese icefish,,,Salangichthys microdon,(Bleeker 1860)
LZQ,,,,Labiobarbus fasciatus,(Bleeker 1853)
LZW,,,,Labiobarbus ocellatus,(Heckel 1843)
IEB,Stumpy cuttlefish,Seiche trapue,Sepia achaparrada,Sepia bandensis,Adam 1939
MJZ,,,,Mystacoleucus marginatus,(Valenciennes 1842)
PZI,,,,Parachela oxygastroides,(Bleeker 1852)
WPP,,,,Puntioplites proctozystron,(Bleeker 1865)
FZP,Spanner barb,,,Puntius lateristriga,(Valenciennes 1842)
RSV,Brilliant rasbora,,,Rasbora einthovenii,(Bleeker 1851)
RWS,Twospot rasbora,,,Rasbora elegans,Volz 1903
RRZ,,,,Rasbora tawarensis,Weber & de Beaufort 1916
TZS,,,,Tor soro,(Valenciennes 1842)
RFQ,Indian goatfish,Rouget-barbet indien,Salmonete índico,Parupeneus indicus,(Shaw 1803)
HEP,Pacific herring,Hareng du Pacifique,Arenque del Pacífico,Clupea pallasii,Valenciennes 1847
SHC,Pontic shad,Alose de la mer Noire,Sábalo del Mar Negro,Alosa pontica,(Eichwald 1838)
KTV,Long-armed squid,,Calamarín volador,Chiroteuthis veranyi,Férussac 1835
KTP,,,,Chiroteuthis picteti,Joubin 1894
GTH,Armed cranch squid,Encornet-outre armé,Cranquiluria armada,Galiteuthis armata,Joubin 1898
ICR,,,,Liocranchia reinhardti,(Steenstrup 1856)
EKH,Antarctic cranch squid,Encornet outre commun,Cranquiluria antártica,Mesonychoteuthis hamiltoni,Robson 1925
YXS,Toothed-fin squid,Calmar à nageoire denticulée,Calamarín alidentado,Ctenopteryx sicula,(Verany 1851)
BLK,,,,Abralia andamanica,Goodrich 1898
BJF,Pfeffer's enope squid,Encornet de Pfeffer,Enoploluria de Pfeffer,Abraliopsis pfefferi,(Verany 1837)
NKL,Sharpear enope squid,Encornet cachalot,Enoploluria rómbica,Ancistrocheirus lesueuri,(d’Orbigny 1839)
TSD,Twaite shad,Alose feinte,Saboga(=Alosa),Alosa fallax,(Lacépède 1803)
ALE,Alewife,Gaspareau,Pinchagua,Alosa pseudoharengus,(Wilson 1811)
BBH,Blueback shad,Alose d'été du Canada,Sábalo del Canadá,Alosa aestivalis,(Mitchill 1814)
SHH,Hickory shad,Alose américaine,,Alosa mediocris,(Mitchill 1814)
SIX,Sardinellas nei,Sardinelles nca,Sardinelas nep,Sardinella spp,
SAG,Goldstripe sardinella,Sardinelle dorée,Sardinela dorada,Sardinella gibbosa,(Bleeker 1849)
LAT,Lake trout(=Char),Touladi(=Omble du Canada),Trucha lacustre,Salvelinus namaycush,(Walbaum 1792)
TLV,Grayling,Ombre commun,Tímalo,Thymallus thymallus,(Linnaeus 1758)
TLA,Arctic grayling,Ombre arctique,Tímalo ártico,Thymallus arcticus,(Pallas 1776)
PCA,Ayu sweetfish,Ayu,Ayu,Plecoglossus altivelis,(Temminck & Schlegel 1846)
SMX,Smelts nei,Éperlans nca,Eperlanos nep,"Osmerus spp, Hypomesus spp",
CAP,Capelin,Capelan,Capelán,Mallotus villosus,(Müller 1776)
SME,European smelt,Éperlan européen,Eperlano europeo,Osmerus eperlanus,(Linnaeus 1758)
NUX,Bellybutton nautilus,Nautile bouton,Nautilo ombligo,Nautilus macromphalus,Sowerby 1849
NUK,Emperor nautilus,Nautile flammé,Nautilo común,Nautilus pompilius,Linnaeus 1758
LHQ,Antarctic neosquid,Loutène australe,Neoluria antártica,Alluroteuthis antarcticus,Odhner 1923
YYS,Globose octopus,Poulpe globuleux,Pulpito,Bathypolypus sponsalis,(P. & H. Fischer 1892)
BTQ,January octopus,Poulpe filamenteux,Pulpo filamentoso,Benthoctopus januarii,(Hoyle 1885)
LLK,,,,Callistoctopus arakawai,Taki 1964
DTS,Dana octopus,Poulpe dana,Pulpito monedero,Danoctopus schmidti,Joubin 1933
EUL,Eulachon,Eulakane,,Thaleichthys pacificus,(Richardson 1836)
WHF,Whitefishes nei,Corégones nca,Coregonos nep,Coregonus spp,
HOU,Houting,Bondelle,Coregono picudo,Coregonus oxyrinchus,(Linnaeus 1758)
CIS,Lake cisco,Cisco de lac,Coregono de artedi,Coregonus artedi,Lesueur 1818
SMR,Rainbow smelt,Éperlan arc-en-ciel,Eperlano arco iris,Osmerus mordax,Steindachner & Kner 1870
PSM,Pond smelt,Éperlan à petite bouche,Eperlano de estanque,Hypomesus olidus,(Pallas 1814)
EDT,Musky octopus,Élédone musquée,Pulpo almizclado,Eledone moschata,(Lamarck 1798)
EDY,Combed octopus,Élédone peigne,Pulpo desflecado,Eledone massyae,Voss 1964
EXL,Map octopus,Poulpe lierre,Pulpo lampazo,Euaxoctopus pillsburyae,Voss 1975
GJX,Spiny gracilaria,Gracilaire épineuse,Pelillo espinoso,Gracilaria spinigera,Dawson 1949
GCW,Broadleaf gracilaria,Gracilaire laminée,Gracilaria laminada,Gracilaria textorii,(Suringar) Agardh 1876
YAZ,Tattered sea moss,Houlette deguenillée,Cayado andrajoso,Hypnea pannosa,J. Agardh 1847
JNA,Pacific coral moss,Janire corail du Pacifique,Falsa coralina del Pacífico,Jania adhaerens,Lamouroux 1816
OKF,,,,Solieria filiformis,(Kutzing) Gabrielson
MVT,,,,Mastocarpus stellatus,"(Stackhouse) Guiry in Guiry, J.A.West, D.-H. Kim & Masu"
LJQ,,,,Lithothamnion corallioides,(P.L. Crouan & H.M. Crouan) P.L. Crouan & H.M. Crouan
BMO,Blue moki,,,Latridopsis ciliaris,(Forster 1801)
NEB,New Zealand blue cod,,,Parapercis colias,(Forster 1801)
TAU,Tautog,Tautogue noir,,Tautoga onitis,(Linnaeus 1758)
PWT,Parrotfishes nei,Perroquets nca,Loros nep,Scaridae,
ANW,Angelfishes nei,Demoiselles nca,Angeles nep,Pomacanthidae,
HAW,Peruvian morwong,Castanette pintadille,Pintadilla,Cheilodactylus variegatus,Valenciennes 1833
TAK,Tarakihi,,,Nemadactylus macropterus,(Forster 1801)
MOW,Morwongs,,,Nemadactylus spp,
GKI,Dichotomously branched gracila,,,Gracilaria edulis,(Gmelin) Silva 1952
GKH,Prostrate gracilaria,,,Hydropuntia eucheumatoides,(Harvey) Gurgel & Fredericq 2004
KMK,Pacific ceramium,Céramium du Pacifique,Trillo del Pacífico,Ceramium pacificum,(Collins) Kylin 1925
GJP,Dwarf gelidium,Menue paille naine,Pajilla enana,Gelidium pusillum,(Stackhouse) Le Jolis 1863
GHG,Gigartina seaweeds nei,Gigartines nca,Lugas nep,Gigartinaceae,
CMR,Mediterranean shore crab,Crabe vert de la Méditerranée,Cangrejo verde mediterráneo,Carcinus aestuarii,Nardo 1847
MUD,Indo-Pacific swamp crab,Crabe de palétuviers,Cangrejo de manglares,Scylla serrata,(Forsskål 1775)
LIO,Velvet swimcrab,Étrille commune,Nécora,Necora puber,(Linnaeus 1767)
SCY,Lesser slipper lobster,Petite cigale,Santiaguiño,Scyllarus arctus,(Linnaeus 1758)
UGU,Unihorn octopus,Poulpe licorne,Pulpo unicornio,Scaeurgus unicirrhus,(d’Orbigny 1840)
TLQ,Spiney-horn octopus,Poulpe cornu,Pulpo cornudo,Tetracheledone spinicirrhus,Voss 1955
NID,Dana octopus squid,Encornet poulpe dana,Pulpota,Taningia danae,Joubin 1931
YHT,Tuberculate octopus,Pieuvre dimorphe,Pulpote,Ocythoe tuberculata,Rafinesque 1814
PTM,False catshark,Requin à longue dorsale,Musolón de aleta larga,Pseudotriakis microdon,Capello 1868
GSK,Greenland shark,Laimargue du Groenland,Tollo de Groenlandia,Somniosus microcephalus,(Bloch & Schneider 1801)
DGZ,Dogfishes nei,Aiguillats nca,Mielgas nep,Squalus spp,
DOP,Shortnose spurdog,Aiguillat nez court,Galludo ñato,Squalus megalops,(Macleay 1881)
GUQ,Leafscale gulper shark,Squale-chagrin de l'Atlantique,Quelvacho negro,Centrophorus squamosus,(Bonnaterre 1788)
ETX,Velvet belly,Sagre commun,Negrito,Etmopterus spinax,(Linnaeus 1758)
ETP,Smooth lanternshark,Sagre nain,Tollo lucero liso,Etmopterus pusillus,(Lowe 1839)
CYO,Portuguese dogfish,Pailona commun,Pailona,Centroscymnus coelolepis,Bocage & Capello 1864
